ticker,date,forward_return,z_sentiment,mkt_rf,rf,smb_3,hml_3,smb_5,hml_5,rmw,cma,mom
ADBE,2013-07-29,-0.03540382094067507,-0.4726333738825294,-0.37,0.0,-0.31,-0.31,-0.32,-0.31,0.33,-0.14,-0.43
ADBE,2013-07-30,-0.038640240867199194,-0.4726333738825294,0.11,0.0,0.2,-0.5,0.16,-0.5,0.13,-0.05,0.11
ADBE,2013-08-02,-0.03308745352119058,-0.4726333738825294,0.2,0.0,-0.21,-0.33,-0.24,-0.33,-0.02,-0.06,0.5
ADBE,2013-08-08,-0.005472496963136342,-0.4726333738825294,0.47,0.0,0.0,0.04,0.0,0.04,0.0,0.16,0.11
ADBE,2013-08-21,0.158839213127832,-0.4726333738825294,-0.59,0.0,-0.02,-0.43,-0.07,-0.43,-0.08,-0.31,0.25
ADBE,2013-08-28,0.14276301722537355,-0.4726333738825294,0.3,0.0,0.1,0.09,0.11,0.09,0.0,-0.08,0.3
ADBE,2013-09-17,0.07831326351396539,-0.4726333738825294,0.54,0.0,0.47,-0.12,0.42,-0.12,-0.33,-0.21,0.07
ADBE,2013-10-03,0.07330973789176642,-0.4726333738825294,-0.89,0.0,-0.18,0.18,-0.16,0.18,0.03,0.23,-0.11
ADBE,2013-10-10,0.07172175327279717,-0.4726333738825294,2.22,0.0,0.16,-0.04,0.19,-0.04,-0.33,-0.26,1.19
ADBE,2013-10-15,0.10822258615170144,-0.4726333738825294,-0.73,0.0,-0.2,0.03,-0.19,0.03,0.25,-0.15,0.08
ADBE,2013-10-25,0.05835345306657058,-0.4726333738825294,0.33,0.0,-0.33,0.08,-0.32,0.08,0.15,0.03,-0.25
ADBE,2013-10-28,0.05136288600202055,-0.4726333738825294,0.09,0.0,-0.07,0.05,-0.07,0.05,0.36,0.19,-0.57
ADBE,2013-10-29,0.037367831101950966,-0.4726333738825294,0.54,0.0,-0.15,-0.06,-0.15,-0.06,0.1,0.28,0.25
ADBE,2013-11-01,0.03277789590773317,-0.4726333738825294,0.2,0.0,-0.67,0.22,-0.63,0.22,0.23,0.27,-0.07
ADBE,2013-11-07,0.042693258151915714,-0.4726333738825294,-1.45,0.0,-0.33,0.14,-0.3,0.14,0.14,0.31,-1.15
ADBE,2013-11-19,0.04231666829801917,-0.4726333738825294,-0.27,0.0,-0.29,0.25,-0.26,0.25,0.01,0.0,-0.49
ADBE,2013-12-12,0.11816997694153697,-0.4726333738825294,-0.24,0.0,0.37,0.23,0.4,0.23,-0.29,-0.09,0.58
ADBE,2014-01-07,0.040189908136761376,-0.4726333738825294,0.68,0.0,0.39,-0.38,0.32,-0.38,-0.08,-0.3,0.52
ADBE,2014-01-16,0.11406786422450943,-0.4726333738825294,-0.07,0.0,0.32,-0.7,0.25,-0.7,-0.02,-0.27,-0.05
ADBE,2014-01-21,0.12539038741401876,-0.4693111721967804,0.3,0.0,0.47,0.0,0.43,0.0,-0.25,-0.33,-0.04
ADBE,2014-01-24,0.15095620173647806,-0.4693111721967804,-2.18,0.0,-0.37,0.18,-0.38,0.18,0.22,0.07,-0.99
ADBE,2014-02-12,0.031470725682622325,-0.4693111721967804,0.11,0.0,0.25,-0.05,0.25,-0.05,0.18,0.01,0.25
ADBE,2014-02-14,0.0026338939833390196,-0.4693111721967804,0.42,0.0,-0.37,0.37,-0.33,0.37,0.37,0.34,-0.33
ADBE,2014-02-18,-0.015001548991466551,-0.4693111721967804,0.27,0.0,0.97,-0.26,0.94,-0.26,-0.32,-0.28,0.71
ADBE,2014-03-12,-0.09653241427860404,-0.4693111721967804,0.13,0.0,0.3,-0.17,0.29,-0.17,-0.11,-0.43,-0.05
ADBE,2014-03-18,-0.07997659071825991,-0.46811754467231215,0.82,0.0,0.74,-0.39,0.68,-0.39,-0.32,-0.3,0.5
ADBE,2014-03-28,-0.061189851634845915,-0.4679830526225234,0.41,0.0,-0.44,0.54,-0.37,0.54,0.56,0.31,-0.47
ADBE,2014-04-03,-0.016172972360151694,-0.4679830526225234,-0.31,0.0,-0.9,0.81,-0.77,0.81,0.56,0.4,-1.06
ADBE,2014-04-07,-0.030428313468562118,-0.4679830526225234,-1.25,0.0,-0.29,-0.05,-0.35,-0.05,0.2,0.03,-1.02
ADBE,2014-04-15,-0.03075188904592896,-0.4679830526225234,0.6,0.0,-0.37,0.19,-0.35,0.19,-0.04,-0.17,0.0
ADBE,2014-04-23,-0.01925761570932516,-0.4679830526225234,-0.31,0.0,-0.64,0.91,-0.54,0.91,0.19,0.24,-0.29
ADBE,2014-04-24,0.017083230151868634,-0.4679830526225234,0.08,0.0,-0.4,-0.16,-0.42,-0.16,0.19,-0.19,-0.5
ADBE,2014-04-25,0.059081307475865374,-0.4679830526225234,-1.04,0.0,-0.97,0.55,-0.89,0.55,0.81,0.68,-1.25
ADBE,2014-05-02,0.04109803294606973,-0.4679830526225234,-0.08,0.0,0.21,0.41,0.27,0.41,0.34,0.19,0.13
ADBE,2014-05-08,0.1328706538731832,-0.4679830526225234,-0.26,0.0,-1.01,0.38,-0.96,0.38,0.12,0.26,-0.62
ADBE,2014-05-21,0.16231789965593846,-0.4679830526225234,0.81,0.0,-0.28,0.1,-0.28,0.1,-0.02,-0.14,0.4
ADBE,2014-06-17,0.057003233964066924,-0.46812256226032356,0.34,0.0,0.53,0.45,0.55,0.45,-0.54,0.04,-0.06
ADBE,2014-06-23,-0.01166138676414652,-0.46812256226032356,-0.02,0.0,-0.26,0.09,-0.23,0.09,-0.01,-0.16,-0.15
ADBE,2014-06-25,0.0024848191483894944,-0.46870713552664417,0.53,0.0,0.35,0.15,0.33,0.15,-0.12,-0.22,0.36
ADBE,2014-07-03,-0.06524402707175081,-0.46870713552664417,0.59,0.0,0.21,0.13,0.21,0.13,0.01,0.24,0.06
ADBE,2014-07-15,-0.03458292942783758,-0.46870713552664417,-0.32,0.0,-0.95,0.99,-0.82,0.99,0.21,0.38,-0.51
ADBE,2014-07-25,-0.011016290574231147,-0.46870713552664417,-0.53,0.0,-0.39,0.16,-0.39,0.16,-0.01,0.06,-0.21
